team_name,total_points,rank
Team Horizon,768,1
727,480,2
Goodbye World,215,3
a,200,4
Big Three,175,5
SillyCatA,136,6
Winner,89,7
SCUTChinaNo1,86,8
James Street,70,9
Tommy Team,3,10
Mystic,-4,11
BIG 2 DUTY FREE,-34,12
88warriors,-36,13
Sounds Good,-45,14
Japan2025,-58,15
Kartik,-61,16
natu,-64,17
TheBig4,-79,18
Team Name,-234,19
ChasingTheBag,-263,20
Wildflowers,-1344,21
