team_name,wins
727,3
Big Three,3
ChasingTheBag,3
Goodbye World,3
James Street,3
Mystic,1
SCUTChinaNo1,3
SillyCatA,8
Sounds Good,1
Team Horizon,21
Tommy Team,2
Winner,3
a,6
