team_name,wins
727,6
BIG 2 DUTY FREE,2
Bagman,2
Big Three,7
James Street,3
Japan2025,3
Kartik,3
Mystic,1
SCUTChinaNo1,4
SillyCatA,3
Team Horizon,21
a,5
