team_name,wins
727,6
Big Three,1
ChasingTheBag,3
Goodbye World,3
Mystic,4
SCUTChinaNo1,8
SillyCatA,6
Sounds Good,2
Team Horizon,19
Tommy Team,2
Winner,3
a,3
