team_name,wins
727,6
Big Three,4
ChasingTheBag,3
Goodbye World,3
Mystic,4
SCUTChinaNo1,5
SillyCatA,8
Sounds Good,3
Team Horizon,22
Tommy Team,2
Winner,3
a,6
