team_name,total_points,rank
Team Horizon,998,1
SCUTChinaNo1,409,2
BIG 2 DUTY FREE,237,3
Big Three,216,4
a,112,5
ChasingTheBag,77,6
James Street,43,7
Mystic,39,8
727,16,9
TheBig4,-53,10
88warriors,-68,11
Winner,-77,12
4DS,-87,13
SillyCatA,-107,14
Bagman,-135,15
Tommy Team,-160,16
Team Name,-219,17
Aperture Tech,-258,18
Sounds Good,-281,19
Wildflowers,-702,20
