team_name,total_points,rank
Team Horizon,745,1
727,565,2
Mystic,388,3
Big Three,274,4
Goodbye World,215,5
a,200,6
SillyCatA,137,7
SCUTChinaNo1,107,8
Winner,89,9
Tommy Team,-29,10
BIG 2 DUTY FREE,-34,11
TheBig4,-38,12
Kartik,-61,13
88warriors,-63,14
natu,-64,15
Bagman,-75,16
Aperture Tech,-79,17
Japan2025,-84,18
Sounds Good,-133,19
Team Name,-234,20
ChasingTheBag,-263,21
Wildflowers,-1563,22
