team_name,total_points,rank
Team Horizon,770,1
Kartik,207,2
a,119,3
Big Three,118,4
BIG 2 DUTY FREE,116,5
Mystic,108,6
Sounds Good,55,7
Japan2025,48,8
Winner,44,9
James Street,28,10
ChasingTheBag,21,11
TheBig4,-16,12
SCUTChinaNo1,-20,13
Goodbye World,-30,14
Tommy Team,-35,15
88warriors,-76,16
Aperture Tech,-121,17
Wildflowers,-1336,18
