team_name,total_points,rank
Team Horizon,760,1
a,159,2
SillyCatA,158,3
Big Three,134,4
BIG 2 DUTY FREE,96,5
James Street,59,6
Mystic,58,7
SCUTChinaNo1,19,8
Japan2025,-37,9
4DS,-60,10
Tommy Team,-72,11
ChasingTheBag,-73,12
Aperture Tech,-97,13
727,-104,14
TheBig4,-117,15
88warriors,-124,16
Kartik,-144,17
Winner,-177,18
Team Name,-219,19
Wildflowers,-219,20
