team_name,total_points,rank
Team Horizon,609,1
727,565,2
Mystic,408,3
SCUTChinaNo1,346,4
Goodbye World,215,5
SillyCatA,118,6
Big Three,52,7
BIG 2 DUTY FREE,51,8
a,39,9
Winner,26,10
4DS,-39,11
Kartik,-61,12
88warriors,-63,13
natu,-64,14
Bagman,-75,15
Japan2025,-84,16
Tommy Team,-93,17
Sounds Good,-109,18
Aperture Tech,-112,19
ChasingTheBag,-166,20
Team Name,-219,21
Wildflowers,-1344,22
