team_name,wins
Aperture Tech,3
BIG 2 DUTY FREE,3
Goodbye World,1
James Street,6
Japan2025,2
Kartik,3
Mystic,3
SCUTChinaNo1,4
Sounds Good,5
Team Horizon,19
Winner,6
a,5
