team_name,total_points,rank
Team Horizon,773,1
Kartik,252,2
SillyCatA,175,3
Big Three,161,4
SCUTChinaNo1,147,5
727,146,6
a,119,7
BIG 2 DUTY FREE,116,8
Mystic,92,9
James Street,9,10
Aperture Tech,9,11
Sounds Good,0,12
TheBig4,-63,13
Japan2025,-64,14
ChasingTheBag,-66,15
Winner,-82,16
Tommy Team,-110,17
88warriors,-233,18
Wildflowers,-1381,19
