team_name,total_points,rank
Team Horizon,712,1
a,490,2
SCUTChinaNo1,256,3
<2 Brain Cells,212,4
Big Three,167,5
SillyCatA,149,6
727,11,7
James Street,-4,8
Japan2025,-4,9
Winner,-22,10
Aperture Tech,-26,11
TheBig4,-28,12
BIG 2 DUTY FREE,-46,13
Sounds Good,-76,14
ChasingTheBag,-87,15
Mystic,-94,16
88warriors,-107,17
Team Name,-234,18
Wildflowers,-1269,19
