team_name,wins
727,2
Aperture Tech,3
BIG 2 DUTY FREE,3
Big Three,3
James Street,3
Kartik,3
Mystic,3
SCUTChinaNo1,3
SillyCatA,6
Sounds Good,2
Team Horizon,21
Winner,3
a,5
