team_name,total_points,rank
Team Horizon,900,1
a,490,2
SCUTChinaNo1,256,3
<2 Brain Cells,212,4
Big Three,206,5
727,190,6
SillyCatA,163,7
Japan2025,40,8
Aperture Tech,-26,9
BIG 2 DUTY FREE,-46,10
James Street,-48,11
ChasingTheBag,-52,12
Winner,-67,13
Sounds Good,-76,14
Mystic,-94,15
88warriors,-107,16
Team Name,-234,17
Wildflowers,-1707,18
