team_name,total_points,rank
Team Horizon,585,1
727,565,2
Mystic,408,3
Goodbye World,215,4
a,200,5
SillyCatA,118,6
SCUTChinaNo1,107,7
Big Three,52,8
Winner,26,9
BIG 2 DUTY FREE,-6,10
4DS,-39,11
Tommy Team,-56,12
Kartik,-61,13
88warriors,-63,14
natu,-64,15
Bagman,-75,16
Japan2025,-84,17
Sounds Good,-109,18
Aperture Tech,-112,19
ChasingTheBag,-263,20
Wildflowers,-1344,21
